Student_ID,Name,Gender,Age,Attendance,Study_Hours,Previous_GPA,Math_Score,Science_Score,English_Score,Total_Score,Average_Score,Average_Score_Rounded,Grade,Performance,Attendance_Category,Math_Zscore,Score_Percentile
S034,Hugo,F,24,91.0,3.0,3.56,63,79,53,195,65.0,65.0,C,Fail,High,-0.7947971372067669,17.0
S035,Iris,F,18,63.0,7.4,3.28,48,72,55,175,58.333333333333336,58.33,D,Fail,Low,-1.8120289681028,7.000000000000001
S036,Jake,F,18,89.0,2.7,2.17,79,48,94,221,73.66666666666667,73.67,B,Pass,High,0.2902501490823348,48.0
S037,Kyle,M,21,96.0,2.0,2.32,93,82,81,256,85.33333333333333,85.33,A,Pass,High,1.239666524585299,94.0
S038,Laura,M,24,82.0,4.4,3.8,61,93,79,233,77.66666666666667,77.67,B,Pass,Medium,-0.9304280479929047,63.0
S039,Mark,F,20,98.0,7.9,3.21,88,87,96,271,90.33333333333333,90.33,A,Pass,High,0.9005892476199545,100.0
S040,Nina,M,20,74.0,2.7,2.02,72,78,84,234,78.0,78.0,B,Pass,Medium,-0.18445803866914723,66.0
S041,Oscar,M,18,88.0,5.7,2.2,74,68,89,231,77.0,77.0,B,Pass,High,-0.048827127883009504,60.0
S042,Paula,M,20,95.0,6.3,3.33,73,81,65,219,73.0,73.0,B,Pass,High,-0.11664258327607836,46.0
S043,Ricky,M,20,72.0,2.7,2.01,90,94,62,246,82.0,82.0,B,Pass,Medium,1.0362201584060922,78.0
S044,Sara,F,18,91.0,6.1,2.32,97,65,91,253,84.33333333333333,84.33,B,Pass,High,1.5109283461575742,90.0
S045,Tom,M,20,66.0,3.6,3.1,50,74,79,203,67.66666666666667,67.67,C,Fail,Low,-1.6763980573166621,28.000000000000004
S046,Uma,F,22,81.0,5.4,3.38,79,89,68,236,78.66666666666667,78.67,B,Pass,Medium,0.2902501490823348,69.0
S047,Victor,M,19,87.0,5.4,3.3,85,64,66,215,71.66666666666667,71.67,B,Pass,High,0.697142881440748,42.0
S048,Wendy,F,24,61.0,4.8,2.45,81,63,68,212,70.66666666666667,70.67,B,Pass,Low,0.4258810598684725,36.0
S049,Xavier,F,19,65.0,1.6,3.42,68,52,77,197,65.66666666666667,65.67,C,Fail,Low,-0.45571986024142264,21.0
S050,Yvonne,M,18,87.0,6.8,2.47,73,97,75,245,81.66666666666667,81.67,B,Pass,High,-0.11664258327607836,75.0
